danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.827,0.703,2,-4.623,1,0.112,0.0617,0,0.0484,0.586,137.043,audio_features,6u1rhQAvxkWLeuqUC3iJD0,spotify:track:6u1rhQAvxkWLeuqUC3iJD0,https://api.spotify.com/v1/tracks/6u1rhQAvxkWLeuqUC3iJD0,https://api.spotify.com/v1/audio-analysis/6u1rhQAvxkWLeuqUC3iJD0,214456,4
0.641,0.673,6,-7.017,0,0.0857,0.429,0,0.105,0.785,149.974,audio_features,2MCAs3ttHSuDm1RHL0rqTF,spotify:track:2MCAs3ttHSuDm1RHL0rqTF,https://api.spotify.com/v1/tracks/2MCAs3ttHSuDm1RHL0rqTF,https://api.spotify.com/v1/audio-analysis/2MCAs3ttHSuDm1RHL0rqTF,192107,4
0.798,0.567,7,-6.61,1,0.416,0.122,0,0.101,0.659,73.679,audio_features,7AJKmkPoSxic6mdUSjrbUZ,spotify:track:7AJKmkPoSxic6mdUSjrbUZ,https://api.spotify.com/v1/tracks/7AJKmkPoSxic6mdUSjrbUZ,https://api.spotify.com/v1/audio-analysis/7AJKmkPoSxic6mdUSjrbUZ,94054,4
0.847,0.845,1,-2.901,0,0.305,0.279,0,0.052,0.633,142.012,audio_features,3VYNqg6APRVQasDJnwlJ6H,spotify:track:3VYNqg6APRVQasDJnwlJ6H,https://api.spotify.com/v1/tracks/3VYNqg6APRVQasDJnwlJ6H,https://api.spotify.com/v1/audio-analysis/3VYNqg6APRVQasDJnwlJ6H,190986,4
0.567,0.797,1,-3.071,0,0.2,0.392,0,0.116,0.654,110.882,audio_features,4CF6itOplqlu7ilwLtYUl3,spotify:track:4CF6itOplqlu7ilwLtYUl3,https://api.spotify.com/v1/tracks/4CF6itOplqlu7ilwLtYUl3,https://api.spotify.com/v1/audio-analysis/4CF6itOplqlu7ilwLtYUl3,218732,3
0.752,0.905,11,-7.015,0,0.181,0.0931,0.000739,0.355,0.521,150.991,audio_features,59wSo3BVsBDZWMRKLwTpdv,spotify:track:59wSo3BVsBDZWMRKLwTpdv,https://api.spotify.com/v1/tracks/59wSo3BVsBDZWMRKLwTpdv,https://api.spotify.com/v1/audio-analysis/59wSo3BVsBDZWMRKLwTpdv,179107,4
0.856,0.602,0,-8.173,0,0.336,0.127,0,0.115,0.723,142.95,audio_features,07whpV2cnsEG3vk4qGxRQN,spotify:track:07whpV2cnsEG3vk4qGxRQN,https://api.spotify.com/v1/tracks/07whpV2cnsEG3vk4qGxRQN,https://api.spotify.com/v1/audio-analysis/07whpV2cnsEG3vk4qGxRQN,77203,4
0.45,0.952,2,-5.075,0,0.09,0.000243,0.00449,0.554,0.177,140.046,audio_features,2HhCeucatmy92kC1NHJYjQ,spotify:track:2HhCeucatmy92kC1NHJYjQ,https://api.spotify.com/v1/tracks/2HhCeucatmy92kC1NHJYjQ,https://api.spotify.com/v1/audio-analysis/2HhCeucatmy92kC1NHJYjQ,216033,4
0.883,0.558,1,-6.382,0,0.208,0.542,0.00000185,0.0934,0.537,153.99,audio_features,4gohbLz14XeqPbH5uxbZBz,spotify:track:4gohbLz14XeqPbH5uxbZBz,https://api.spotify.com/v1/tracks/4gohbLz14XeqPbH5uxbZBz,https://api.spotify.com/v1/audio-analysis/4gohbLz14XeqPbH5uxbZBz,204179,4
0.871,0.673,5,-5.363,0,0.352,0.287,0,0.219,0.683,152.085,audio_features,35tyQCmxn6cj2r7eAb4JXP,spotify:track:35tyQCmxn6cj2r7eAb4JXP,https://api.spotify.com/v1/tracks/35tyQCmxn6cj2r7eAb4JXP,https://api.spotify.com/v1/audio-analysis/35tyQCmxn6cj2r7eAb4JXP,162960,4
0.946,0.848,9,-3.668,1,0.158,0.513,0,0.112,0.652,120.026,audio_features,3Sd7FiZtfsVHKEvjshCsHC,spotify:track:3Sd7FiZtfsVHKEvjshCsHC,https://api.spotify.com/v1/tracks/3Sd7FiZtfsVHKEvjshCsHC,https://api.spotify.com/v1/audio-analysis/3Sd7FiZtfsVHKEvjshCsHC,184000,4
0.912,0.577,2,-6.657,1,0.401,0.106,0,0.0689,0.848,140.002,audio_features,6yE734jgKBYFAzymZ6Elal,spotify:track:6yE734jgKBYFAzymZ6Elal,https://api.spotify.com/v1/tracks/6yE734jgKBYFAzymZ6Elal,https://api.spotify.com/v1/audio-analysis/6yE734jgKBYFAzymZ6Elal,166853,4
0.851,0.686,11,-8.143,1,0.222,0.597,0.00000108,0.111,0.752,154.986,audio_features,0De4Cl3YncrwWkqJiJfA7k,spotify:track:0De4Cl3YncrwWkqJiJfA7k,https://api.spotify.com/v1/tracks/0De4Cl3YncrwWkqJiJfA7k,https://api.spotify.com/v1/audio-analysis/0De4Cl3YncrwWkqJiJfA7k,195344,4
0.742,0.423,1,-9.795,0,0.108,0.832,0.0000104,0.0644,0.712,75.026,audio_features,5mA2JwcgMq4FIIBKKKLsuW,spotify:track:5mA2JwcgMq4FIIBKKKLsuW,https://api.spotify.com/v1/tracks/5mA2JwcgMq4FIIBKKKLsuW,https://api.spotify.com/v1/audio-analysis/5mA2JwcgMq4FIIBKKKLsuW,194000,4
0.696,0.805,1,-7.082,1,0.253,0.203,0.0000076,0.227,0.283,131.716,audio_features,0E2IUIi4k7klypQqmEcrkt,spotify:track:0E2IUIi4k7klypQqmEcrkt,https://api.spotify.com/v1/tracks/0E2IUIi4k7klypQqmEcrkt,https://api.spotify.com/v1/audio-analysis/0E2IUIi4k7klypQqmEcrkt,149422,4
0.699,0.61,9,-6.9,1,0.231,0.00153,0.00000175,0.369,0.577,170.103,audio_features,27x1z3kAL3Jx5TF4HyikPG,spotify:track:27x1z3kAL3Jx5TF4HyikPG,https://api.spotify.com/v1/tracks/27x1z3kAL3Jx5TF4HyikPG,https://api.spotify.com/v1/audio-analysis/27x1z3kAL3Jx5TF4HyikPG,204000,4
0.853,0.616,6,-8.239,0,0.264,0.0104,0,0.0644,0.691,125.059,audio_features,5UcJfhiAQOqC5MtpwsM20t,spotify:track:5UcJfhiAQOqC5MtpwsM20t,https://api.spotify.com/v1/tracks/5UcJfhiAQOqC5MtpwsM20t,https://api.spotify.com/v1/audio-analysis/5UcJfhiAQOqC5MtpwsM20t,130560,4
0.833,0.813,4,-5.708,0,0.29,0.244,0,0.128,0.705,154.062,audio_features,4VdQCcXDuzb6Ks1yLT9FnO,spotify:track:4VdQCcXDuzb6Ks1yLT9FnO,https://api.spotify.com/v1/tracks/4VdQCcXDuzb6Ks1yLT9FnO,https://api.spotify.com/v1/audio-analysis/4VdQCcXDuzb6Ks1yLT9FnO,217760,4
0.85,0.853,8,-5.65,1,0.123,0.0155,0,0.105,0.734,142.03,audio_features,4uq48sO2YTTJ0l74R9tOdo,spotify:track:4uq48sO2YTTJ0l74R9tOdo,https://api.spotify.com/v1/tracks/4uq48sO2YTTJ0l74R9tOdo,https://api.spotify.com/v1/audio-analysis/4uq48sO2YTTJ0l74R9tOdo,136901,4
0.901,0.653,1,-6.199,1,0.308,0.466,0,0.21,0.551,132.979,audio_features,1UvYiDcJVolpUAQWpwrxNw,spotify:track:1UvYiDcJVolpUAQWpwrxNw,https://api.spotify.com/v1/tracks/1UvYiDcJVolpUAQWpwrxNw,https://api.spotify.com/v1/audio-analysis/1UvYiDcJVolpUAQWpwrxNw,173987,4
0.762,0.703,10,-7.951,0,0.306,0.206,0,0.0912,0.519,151.329,audio_features,0HkoTr9t0f6MeqGoUS3E3e,spotify:track:0HkoTr9t0f6MeqGoUS3E3e,https://api.spotify.com/v1/tracks/0HkoTr9t0f6MeqGoUS3E3e,https://api.spotify.com/v1/audio-analysis/0HkoTr9t0f6MeqGoUS3E3e,247178,4
0.726,0.715,5,-4.261,0,0.0662,0.00108,0.0000457,0.182,0.767,140.061,audio_features,6mkAhxAj1y5zvXWefkd9y7,spotify:track:6mkAhxAj1y5zvXWefkd9y7,https://api.spotify.com/v1/tracks/6mkAhxAj1y5zvXWefkd9y7,https://api.spotify.com/v1/audio-analysis/6mkAhxAj1y5zvXWefkd9y7,183428,4
0.864,0.629,1,-6.602,0,0.279,0.0987,0,0.0737,0.22,140.025,audio_features,3a1kMFVGEPa0dykTF9Sv9m,spotify:track:3a1kMFVGEPa0dykTF9Sv9m,https://api.spotify.com/v1/tracks/3a1kMFVGEPa0dykTF9Sv9m,https://api.spotify.com/v1/audio-analysis/3a1kMFVGEPa0dykTF9Sv9m,190972,4
0.666,0.589,0,-8.405,0,0.324,0.555,0,0.114,0.776,74.974,audio_features,4Y4diRGOGDxZcDh9qYwFVv,spotify:track:4Y4diRGOGDxZcDh9qYwFVv,https://api.spotify.com/v1/tracks/4Y4diRGOGDxZcDh9qYwFVv,https://api.spotify.com/v1/audio-analysis/4Y4diRGOGDxZcDh9qYwFVv,146053,4
0.574,0.729,10,-5.838,0,0.0965,0.0406,0.00000405,0.194,0.413,110.547,audio_features,1rssdvnvf0DZ4s2jdB3DCT,spotify:track:1rssdvnvf0DZ4s2jdB3DCT,https://api.spotify.com/v1/tracks/1rssdvnvf0DZ4s2jdB3DCT,https://api.spotify.com/v1/audio-analysis/1rssdvnvf0DZ4s2jdB3DCT,190239,5
0.87,0.565,6,-8.884,0,0.23,0.641,0,0.0688,0.619,79.993,audio_features,5HIaPHHvXP9D7lcDdFlvf9,spotify:track:5HIaPHHvXP9D7lcDdFlvf9,https://api.spotify.com/v1/tracks/5HIaPHHvXP9D7lcDdFlvf9,https://api.spotify.com/v1/audio-analysis/5HIaPHHvXP9D7lcDdFlvf9,171000,4
0.764,0.812,7,-4.946,1,0.179,0.202,0,0.126,0.742,139.961,audio_features,216QmkNpU3hIjeZtGocb9B,spotify:track:216QmkNpU3hIjeZtGocb9B,https://api.spotify.com/v1/tracks/216QmkNpU3hIjeZtGocb9B,https://api.spotify.com/v1/audio-analysis/216QmkNpU3hIjeZtGocb9B,194973,4
0.901,0.939,6,-2.762,1,0.274,0.117,0,0.0643,0.805,142.948,audio_features,205HNJ73cgpC0LAOnuQiWT,spotify:track:205HNJ73cgpC0LAOnuQiWT,https://api.spotify.com/v1/tracks/205HNJ73cgpC0LAOnuQiWT,https://api.spotify.com/v1/audio-analysis/205HNJ73cgpC0LAOnuQiWT,356347,4
0.922,0.712,7,-6.024,1,0.171,0.0779,0.0000396,0.175,0.904,104.964,audio_features,0jU7JpfPrm7jjaLjFLXZLh,spotify:track:0jU7JpfPrm7jjaLjFLXZLh,https://api.spotify.com/v1/tracks/0jU7JpfPrm7jjaLjFLXZLh,https://api.spotify.com/v1/audio-analysis/0jU7JpfPrm7jjaLjFLXZLh,161800,4
0.809,0.574,5,-8.546,0,0.385,0.4,0,0.105,0.756,151.974,audio_features,6Fn1k9ctMXsh5xrrMRaGQZ,spotify:track:6Fn1k9ctMXsh5xrrMRaGQZ,https://api.spotify.com/v1/tracks/6Fn1k9ctMXsh5xrrMRaGQZ,https://api.spotify.com/v1/audio-analysis/6Fn1k9ctMXsh5xrrMRaGQZ,185493,4
